contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
ABT GLOBAL INC.,ABT GLOBAL INC.,ABT GLOBAL INC.,1,1,250
AC&T CO INC,AC&T CO INC,AC&T CO INC,1,1,500
AC&T CO. INC,AC&T CO INC,AC&T CO INC,1,1,500
ACA GROUP,ACA GROUP,ACA GROUP,1,1,175
ACADEMIC TRAVEL ABROAD,ACADEMIC TRAVEL ABROAD,ACADEMIC TRAVEL ABROAD,1,1,400
ACADEMYHEALTH,ACADEMYHEALTH,ACADEMYHEALTH,1,1,345
ACADIA WINDOWS & DOORS,ACADIA WINDOWS & DOORS,ACADIA WINDOWS & DOORS,1,1,2082.04
ACAP,ACAP,ACAP,1,1,250
ACCEL CORPORATION,ACCEL CORPORATION,ACCEL CORPORATION,1,1,375
ACCENT DESIGNS LLC,ACCENT DESIGNS LLC,ACCENT DESIGNS LLC,1,1,300
ACCENTURE FEDERAL SERVICES,ACCENTURE FEDERAL SERVICES,ACCENTURE FEDERAL SERVICES,1,1,500
ACCESS CARROLL INC.,ACCESS CARROLL INC.,ACCESS CARROLL INC.,1,1,400
ACCOUNTING RESEARCH & ANALYTICS,ACCOUNTING RESEARCH & ANALYTICS,ACCOUNTING RESEARCH & ANALYTICS,1,1,56
ACE FIRE EXTINGUISHER SERVICE INC,ACE FIRE EXTINGUISHER SERVICE INC,ACE FIRE EXTINGUISHER SERVICE INC,1,1,1000
ACECEA,ACECEA,ACECEA,1,1,1000
ACG,ACG,ACG,1,1,6600
ACG ADVOCACY,ACG ADVOCACY,ACG ADVOCACY,1,1,250
ACLU,ACLU,ACLU,1,1,250
ACM,ACM,ACM,1,1,1000
ACM ENTERPRISES,ACM ENTERPRISES,ACM ENTERPRISES,1,1,1500
ACON INVESTMENTS LLC,ACON INVESTMENTS LLC,ACON INVESTMENTS LLC,1,1,6600
ACP,ACP,ACP,1,1,1000
ACROPHASE C LLC,ACROPHASE C LLC,ACROPHASE C LLC,1,1,500
ACTION COMMITTEE FOR TRANSIT,ACTION COMMITTEE FOR TRANSIT,ACTION COMMITTEE FOR TRANSIT,1,1,5300
ACTIVATE,ACTIVATE,ACTIVATE,1,1,250
ACTS RETIREMENT COMMUNITIES,ACTS RETIREMENT COMMUNITIES,ACTS RETIREMENT COMMUNITIES,1,1,1000
ACTUARIAL RESEARCH CORP,ACTUARIAL RESEARCH CORP,ACTUARIAL RESEARCH CORP,1,1,199
ACUITY,ACUITY,ACUITY,1,1,500
ACV CONSULTING INC.,ACV CONSULTING INC.,ACV CONSULTING INC.,1,1,500
ADDISON HERRING INC.,ADDISON HERRING INC.,ADDISON HERRING INC.,1,1,1000
ADE CONSULTING LLC,ADE CONSULTING LLC,ADE CONSULTING LLC,1,1,3300
ADESSO GROUP LLC,ADESSO GROUP LLC,ADESSO GROUP,1,1,3300
ADOBE,ADOBE,ADOBE,1,1,50
ADRWORLD,ADRWORLD,ADRWORLD,1,1,250
ADVANCED DERMATOLOGY & COSMETIC SURGER,ADVANCED DERMATOLOGY & COSMETIC SURGER,ADVANCED DERMATOLOGY & COSMETIC SURGER,1,1,500
ADVANCED ENERGY ECONOMY,ADVANCED ENERGY ECONOMY,ADVANCED ENERGY ECONOMY,1,1,1000
ADVANCEMENT PROJECT,ADVANCEMENT PROJECT,ADVANCEMENT PROJECT,1,1,250
ADVANTAGE ENGR,ADVANTAGE ENGR,ADVANTAGE ENGR,1,1,35
ADVANTAGE ENVIRONMENTAL CONSULTANTS LL,ADVANTAGE ENVIRONMENTAL CONSULTANTS LL,ADVANTAGE ENVIRONMENTAL CONSULTANTS LL,1,1,24.3
ADVANTAGE SECURITY,ADVANTAGE SECURITY,ADVANTAGE SECURITY,1,1,250
ADVENTIST HEALTHCARE,ADVENTIST HEALTHCARE,ADVENTIST HEALTHCARE,1,1,1000
ADVION,ADVION,ADVION,1,1,500
AEI- DESIGN BUILD LLC,AEI- DESIGN BUILD LLC,AEI- DESIGN BUILD LLC,1,1,25
AERIIS INSIGHTS GROUP INC,AERIIS INSIGHTS GROUP INC,AERIIS INSIGHTS GROUP INC,1,1,250
AEROSPACE,AEROSPACE,AEROSPACE,1,1,250
AEROSPACE INDUSTRIES ASSOCIATION,AEROSPACE INDUSTRIES ASSOCIATION,AEROSPACE INDUSTRIES ASSOCIATION,1,1,50
AEROTEK,AEROTEK,AEROTEK,1,1,352.27
AFILON,AFILON,AFILON,1,1,250
AFL,AFL,AFL,1,1,1800
AFRICAN METHODIST EPISCOPAL CHURCH,AFRICAN METHODIST EPISCOPAL CHURCH,AFRICAN METHODIST EPISCOPAL CHURCH,1,1,1000
AFT,AFT,AFT,1,1,300
AGENCYONE,AGENCYONE,AGENCYONE,1,1,1124.61
AGGREGATE MANAGEMENT INC,AGGREGATE MANAGEMENT INC,AGGREGATE MANAGEMENT INC,1,1,3300
AGILE CARE ENTERPRISES,AGILE CARE ENTERPRISES,AGILE CARE ENTERPRISES,1,1,500
AGILE DECISION SCIENCES,AGILE DECISION SCIENCES,AGILE DECISION SCIENCES,1,1,250
"AGM FINANCIAL SERVICES, INC",AGM FINANCIAL SERVICES INC,AGM FINANCIAL SERVICES INC,1,1,1000
AIDS ACTION BALTIMORE,AIDS ACTION BALTIMORE,AIDS ACTION BALTIMORE,1,1,154.5
AIDS UNITED,AIDS UNITED,AIDS UNITED,1,1,250
AIMPOINT RESEARCH,AIMPOINT RESEARCH,AIMPOINT RESEARCH,1,1,500
AIP,AIP,AIP,1,1,25
AIR LINE PILOTS ASSOC.,AIR LINE PILOTS ASSOC.,AIR LINE PILOTS ASSOC.,1,1,150
AIR LINE PILOTS ASSOCIATION,AIR LINE PILOTS ASSOC.,AIR LINE PILOTS ASSOCIATION,1,1,500
AIR.ORG,AIR.ORG,AIR.ORG,1,1,25
AIRBNB,AIRBNB,AIRBNB,1,1,3300
AIRLINES,AIRLINES,AIRLINES,1,1,50
AKIN,AKIN,AKIN,1,1,3500
AKIN GUMP STRAUSS HAUER  FELD,AKIN GUMP STRAUSS HAUER & FELD L.L.P,AKIN GUMP STRAUSS HAUER  FELD,1,1,500
AKIN GUMP STRAUSS HAUER & FELD L.L.P,AKIN GUMP STRAUSS HAUER & FELD L.L.P,AKIN GUMP STRAUSS HAUER & FELD L.L.P,1,1,1000
AKIN GUMP STRAUSS HAUER FELD LLP,AKIN GUMP STRAUSS HAUER & FELD L.L.P,AKIN GUMP STRAUSS HAUER & FELD L.L.P,1,1,500
"AKIN, GUMP, STRAUSS, HAVER & FELD, LLP",AKIN GUMP STRAUSS HAUER & FELD L.L.P,"AKIN, GUMP, STRAUSS, HAVER & FELD, LLP",1,1,500
AKJ STEEL INC,AKJ STEEL INC,AKJ STEEL INC,1,1,500
AKSHAYA,AKSHAYA,AKSHAYA,1,1,500
ALASKA AIR,ALASKA AIR,ALASKA AIR,1,1,5
ALBERTSONS COMPANIES INC,ALBERTSONS,ALBERTSONS,1,1,1000
ALBION RIVER,ALBION RIVER,ALBION RIVER,1,1,6600
ALCALDE & FAY LLC,ALCALDE & FAY LLC,ALCALDE & FAY LLC,1,1,3300
ALCALDE FAY LLC,ALCALDE & FAY LLC,ALCALDE & FAY LLC,1,1,1000
ALDI,ALDI,ALDI,1,1,207
ALEDADE,ALEDADE,ALEDADE,1,1,471
ALEX A. BEEHLER & CO. LLC,ALEX A. BEEHLER & CO. LLC,ALEX A. BEEHLER & CO. LLC,1,1,1000
"ALEXION FISCHER, LLC","ALEXION FISCHER, LLC","ALEXION FISCHER, LLC",1,1,250
ALGER ELECTRIC,ALGER ELECTRIC,ALGER ELECTRIC,1,1,3000
ALGONQUIN CONSULTANTS,ALGONQUIN CONSULTANTS,ALGONQUIN CONSULTANTS,1,1,165
ALICIA PATTERSON FOUNDATION,ALICIA PATTERSON FOUNDATION,ALICIA PATTERSON FOUNDATION,1,1,250
ALIGNED BENEFITS GROUP INC,ALIGNED BENEFITS GROUP INC,ALIGNED BENEFITS GROUP INC,1,1,300
ALIGNED BENEFTS GROUP INC,ALIGNED BENEFITS GROUP INC,ALIGNED BENEFITS GROUP INC,1,1,75
ALIZA STEWART,ALIZA STEWART,ALIZA STEWART,1,1,304
ALKEBULAN ENVIRONMENTAL CONSULTANTS IN,ALKEBULAN ENVIRONMENTAL CONSULTANTS IN,ALKEBULAN ENVIRONMENTAL CONSULTANTS IN,1,1,250
ALLAN MYERS,ALLAN MYERS,ALLAN MYERS,1,1,610.25
ALLCOUNTED INC.,ALLCOUNTED INC.,ALLCOUNTED INC.,1,1,400
ALLEGANY CO GOVERNMENT,ALLEGANY CO GOVERNMENT,ALLEGANY CO GOVERNMENT,1,1,1000
ALLEGIS GROUP INC.,ALLEGIS GROUP INC.,ALLEGIS GROUP INC.,1,1,3300
ALLEN MITCHELL & CO.,ALLEN MITCHELL & CO.,ALLEN MITCHELL & CO.,1,1,100
ALLIANCE FOR TELECOMMUNICATIONS INDUST,ALLIANCE FOR TELECOMMUNICATIONS INDUST,ALLIANCE FOR TELECOMMUNICATIONS INDUST,1,1,250
ALLIANCE MATERIAL HANDLING INC.,ALLIANCE MATERIAL HANDLING INC.,ALLIANCE MATERIAL HANDLING INC.,1,1,6600
ALLIANT INSURANCE,ALLIANT INSURANCE,ALLIANT INSURANCE,1,1,2500
ALLISON MILLER,ALLISON MILLER,ALLISON MILLER,1,1,10
ALLSTATE CORP,ALLSTATE CORP,ALLSTATE CORP,1,1,500
ALMASA,ALMASA,ALMASA,1,1,250
ALORICA INC.,ALORICA INC.,ALORICA INC.,1,1,250
ALPEN HIGH PERFORMANCE PRODUCTS,ALPEN HIGH PERFORMANCE PRODUCTS,ALPEN HIGH PERFORMANCE PRODUCTS,1,1,500
ALSTON & BIRD,ALSTON & BIRD,ALSTON & BIRD,1,1,500
ALSTON & BIRD LLP,ALSTON & BIRD,ALSTON & BIRD,1,1,1000
ALSTON GRAY,ALSTON GRAY,ALSTON GRAY,1,1,44
ALTERYX,ALTERYX,ALTERYX,1,1,100
ALTUS ENGIEERING & TECHNICAL SVCS.,ALTUS ENGIEERING & TECHNICAL SVCS.,ALTUS ENGIEERING & TECHNICAL SVCS.,1,1,1000
ALTUS REALTY,ALTUS REALTY,ALTUS REALTY,1,1,500
ALVAREZ MARSAL,ALVAREZ & MARSAL,ALVAREZ & MARSAL,1,1,16600
AMAZON WEB SERVICES,AMAZON WEB SERVICES,AMAZON WEB SERVICES,1,1,500
"AMAZON.COM, INC.",AMAZON.COM INC,AMAZON.COM INC,1,1,1000
AMC SEARCH SOLUTIONS,AMC SEARCH SOLUTIONS,AMC SEARCH SOLUTIONS,1,1,500
AMD,AMD,AMD,1,1,1500
AMERI-STAR,AMERI-STAR,AMERI-STAR,1,1,208.2
AMERICAN ACADEMY OF OTOLARYNGOLOGY,AMERICAN ACADEMY OF OTOLARYNGOLOGY,AMERICAN ACADEMY OF OTOLARYNGOLOGY,1,1,250
AMERICAN ASSOCIATION FOR JUSTICE,AMERICAN ASSOCIATION FOR JUSTICE,AMERICAN ASSOCIATION FOR JUSTICE,1,1,500
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,AMERICAN ASSOCIATION OF IMMUNOLOGISTS,AMERICAN ASSOCIATION OF IMMUNOLOGISTS,1,1,50
AMERICAN BAKERS ASSOCIATION,AMERICAN BAKERS ASSOCIATION,AMERICAN BAKERS ASSOCIATION,1,1,260.25
AMERICAN BANKERS ASSOC.,AMERICAN BANKERS ASSOC.,AMERICAN BANKERS ASSOC.,1,1,2000
AMERICAN BANKERS ASSOCIATION,AMERICAN BANKERS ASSOC.,AMERICAN BANKERS ASSOC.,1,1,500
AMERICAN BATTLEFIELD TRUST,AMERICAN BATTLEFIELD TRUST,AMERICAN BATTLEFIELD TRUST,1,1,1000
AMERICAN BEVERAGE ASSOCIATION,AMERICAN BEVERAGE ASSOCIATION,AMERICAN BEVERAGE ASSOCIATION,1,1,6600
AMERICAN BRIDGE 21ST CENTURY,AMERICAN BRIDGE 21ST CENTURY,AMERICAN BRIDGE 21ST CENTURY,1,1,100
AMERICAN CANCER SOCIETY,AMERICAN CANCER SOCIETY,AMERICAN CANCER SOCIETY,1,1,250
AMERICAN COMBUSTION INDUSTRIES INC,AMERICAN COMBUSTION INDUSTRIES INC,AMERICAN COMBUSTION INDUSTRIES INC,1,1,700
AMERICAN COUNCIL FOR AN ENERGY-EFFICIE,AMERICAN COUNCIL FOR AN ENERGY-EFFICIE,AMERICAN COUNCIL FOR AN ENERGY-EFFICIE,1,1,50
AMERICAN COUNCIL FOR ENERGY-EFFICIENCY,AMERICAN COUNCIL FOR ENERGY-EFFICIENCY,AMERICAN COUNCIL FOR ENERGY-EFFICIENCY,1,1,250
AMERICAN CTR FOR COMMUNITY INTEGRATION,AMERICAN CTR FOR COMMUNITY INTEGRATION,AMERICAN CTR FOR COMMUNITY INTEGRATION,1,1,500
AMERICAN DEFENSE INTERNATIONAL,AMERICAN DEFENSE INTERNATIONAL INC,AMERICAN DEFENSE INTERNATIONAL INC,1,1,9830
AMERICAN DEFENSE INTERNATIONAL INC,AMERICAN DEFENSE INTERNATIONAL INC,AMERICAN DEFENSE INTERNATIONAL INC,1,1,1300
AMERICAN ENERGY MASTER INC,AMERICAN ENERGY MASTER INC,AMERICAN ENERGY MASTER INC,1,1,260
AMERICAN JEWISH COMMITTEE (AJC),AMERICAN JEWISH COMMITTEE (AJC),AMERICAN JEWISH COMMITTEE (AJC),1,1,500
AMERICAN KIDNEY FUND,AMERICAN KIDNEY FUND,AMERICAN KIDNEY FUND,1,1,1100
AMERICAN NURSES ASSOCIATION,AMERICAN NURSES ASSOCIATION,AMERICAN NURSES ASSOCIATION,1,1,700
AMERICAN OPTOMETRIC ASSOCIATION,AMERICAN OPTOMETRIC ASSOCIATION,AMERICAN OPTOMETRIC ASSOCIATION,1,1,250
AMERICAN PEST,AMERICAN PEST,AMERICAN PEST,1,1,500
AMERICAN PETROLEUM INSTITUTE,AMERICAN PETROLEUM INSTITUTE,AMERICAN PETROLEUM INSTITUTE,1,1,100
AMERICAN POOL,AMERICAN POOL,AMERICAN POOL,1,1,54
AMERICAN PROPERTY CASUALTY INSURANCE A,AMERICAN PROPERTY CASUALTY INSURANCE A,AMERICAN PROPERTY CASUALTY INSURANCE A,1,1,250
AMERICAN PUBLIC HEALTH ASSOCIATION,AMERICAN PUBLIC HEALTH ASSOCIATION,AMERICAN PUBLIC HEALTH ASSOCIATION,1,1,250
AMERICAN SOCIETY FOR MICROBIOLOGY,AMERICAN SOCIETY FOR MICROBIOLOGY,AMERICAN SOCIETY FOR MICROBIOLOGY,1,1,125
AMERICAN SOCIETY FOR REPRODUCTIVE MEDI,AMERICAN SOCIETY FOR REPRODUCTIVE MEDI,AMERICAN SOCIETY FOR REPRODUCTIVE MEDI,1,1,75
AMERICAN SOCIETY OF HEMATOLOGY,AMERICAN SOCIETY OF HEMATOLOGY,AMERICAN SOCIETY OF HEMATOLOGY,1,1,1000
AMERICAN TORT REFORM ASSOCIATION,AMERICAN TRADING AND PRODUCTION CORP,AMERICAN TORT REFORM ASSOCIATION,1,1,1000
AMERICAN TOWER CORPORATION,AMERICAN TOWER CORPORATION,AMERICAN TOWER CORPORATION,1,1,250
AMERICAN TRADING & PRODUCTION CORP,AMERICAN TRADING AND PRODUCTION CORP,AMERICAN TRADING AND PRODUCTION CORP,1,1,2000
AMERICAN TRADING AND PRODUCTION CORP,AMERICAN TRADING AND PRODUCTION CORP,AMERICAN TRADING AND PRODUCTION CORP,1,1,1000
AMERICAN TRADING AND PRODUCTION CORP.,AMERICAN TRADING AND PRODUCTION CORP,AMERICAN TRADING AND PRODUCTION CORP,1,1,300
AMERICAN TRUCKING ASSOCIATION,AMERICAN TRUCKING ASSOCIATION,AMERICAN TRUCKING ASSOCIATION,1,1,250
AMERICANS FOR TAX FAIRNESS,AMERICANS FOR TAX FAIRNESS,AMERICANS FOR TAX FAIRNESS,1,1,100
AMGEN,AMGEN,AMGEN,1,1,2005
AMIS PATE & BREWER LLP,AMIS PATE & BREWER LLP,AMIS PATE & BREWER LLP,1,1,550
AMP GROUP LLC,AMP GROUP LLC,AMP GROUP LLC,1,1,500
AMRAN PASHA,AMRAN PASHA,AMRAN PASHA,1,1,697.84
AMTOTE INTERNATIONAL,AMTOTE INTERNATIONAL,AMTOTE INTERNATIONAL,1,1,45
AMY E VANCANNON,AMY E VAN CANNON,AMY E VAN CANNON,1,1,300
AMY E VANCANON,AMY E VAN CANNON,AMY E VAN CANNON,1,1,300
ANA,ANA,ANA,1,1,250
ANA. BRITO FOUNDATIOM,ANA. BRITO FOUNDATIOM,ANA. BRITO FOUNDATIOM,1,1,80
ANADOL RUG COMPANY,ANADOL RUG COMPANY,ANADOL RUG COMPANY,1,1,75
"ANALYSIS GROUP, INC",ANALYSIS GROUP,ANALYSIS GROUP,1,1,500
ANCHOR CONSTRUCTION CORPORATION,ANCHOR CONSTRUCTION CORPORATION,ANCHOR CONSTRUCTION CORPORATION,1,1,75
ANCON GROUP,ANCON GROUP,ANCON GROUP,1,1,250
AND WEALTH PARTNERS,AND WEALTH PARTNERS,AND WEALTH PARTNERS,1,1,500
"ANESTHESIA COMPANY, LLC","ANESTHESIA COMPANY, LLC","ANESTHESIA COMPANY, LLC",1,1,250
ANGARAI INTERNATIONAL INC,ANGARAI INTERNATIONAL INC,ANGARAI INTERNATIONAL INC,1,1,1000
ANGEL SUTTON,ANGEL SUTTON,ANGEL SUTTON,1,1,250
ANGLER PROPERTIES,ANGLER PROPERTIES,ANGLER PROPERTIES,1,1,3300
ANN MORSE GOVERNMENT RELATIONS,ANN MORSE GOVERNMENT RELATIONS,ANN MORSE GOVERNMENT RELATIONS,1,1,102
ANNAPOLIS POMODONTICS,ANNAPOLIS POMODONTICS,ANNAPOLIS POMODONTICS,1,1,808.2
ANNAPOLIS PROSTHODONTICS,ANNAPOLIS PROSTHODONTICS,ANNAPOLIS PROSTHODONTICS,1,1,208.2
ANNDYL POLICY GROUP LLC,ANNDYL POLICY GROUP,ANNDYL POLICY GROUP,1,1,500
ANNE ARUNDEL COMMUNITY COLLEGE,ANNE ARUNDEL COMMUNITY COLLEGE,ANNE ARUNDEL COMMUNITY COLLEGE,1,1,223
ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY,1,1,6050
ANNE ARUNDEL COUNTY OFFICE OF LAW,ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY OFFICE OF LAW,1,1,697.2
ANNE ARUNDEL COUNTY REGISTER OF WILLS,ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY REGISTER OF WILLS,1,1,250
ANNE ARUNDEL COUNTY STATE'S ATTORNEY'S,ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY STATE'S ATTORNEY'S,1,1,75
ANNE ARUNDEL GASTRO ASSOCIATES,ANNE ARUNDEL GASTRO ASSOCIATES,ANNE ARUNDEL GASTRO ASSOCIATES,1,1,250
ANNE ARUNDEL PHYSICIAN GROUP,ANNE ARUNDEL PHYSICIAN GROUP,ANNE ARUNDEL PHYSICIAN GROUP,1,1,250
ANNE ARUNDEL PUBLIC SCHOOLS,ANNE ARUNDEL PUBLIC SCHOOLS,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,1,1,100
ANNE GELLNER,ANNE GELLNER,ANNE GELLNER,1,1,125
ANNIE'S FRAMING & ART GALLERY,ANNIE'S FRAMING & ART GALLERY,ANNIE'S FRAMING & ART GALLERY,1,1,400
ANNMORE CORPORATE STRATEGIES INC.,ANNMORE CORPORATE STRATEGIES INC.,ANNMORE CORPORATE STRATEGIES INC.,1,1,250
ANSYS INC,ANSYS INC,ANSYS INC,1,1,1000
"ANSYS, INC.",ANSYS INC,ANSYS INC,1,1,1000
ANTHENELLI PHOEBUS & HICKMAN LLC,ANTHENELLI PHOEBUS & HICKMAN LLC,ANTHENELLI PHOEBUS & HICKMAN LLC,1,1,218
ANYWHERE SERVICE,ANYWHERE SERVICE,ANYWHERE SERVICE,1,1,28
AON,AON,AON,1,1,350
AOP,AOP,AOP,1,1,250
APERIO GLOBAL LLC,APERIO GLOBAL LLC,APERIO GLOBAL LLC,1,1,1000
APEX SYSTEMS/AVAYA,APEX SYSTEMS/AVAYA,APEX SYSTEMS/AVAYA,1,1,90
API SOURCE,API SOURCE,API SOURCE,1,1,500
APL,APL,APL,1,1,200
APOLLO,APOLLO,APOLLO,1,1,1500
APOLLO GLOBAL MANAGMENT,APOLLO GLOBAL MANAGMENT,APOLLO GLOBAL MANAGMENT,1,1,6600
APOSTLE EXPERT EXTERIORS,APOSTLE EXPERT EXTERIORS,APOSTLE EXPERT EXTERIORS,1,1,250
APOYO LLC,APOYO LLC,APOYO LLC,1,1,500
APPLE FORD,APPLE FORD,APPLE FORD,1,1,1000
APPLE FORD LINCOLN,APPLE FORD LINCOLN,APPLE FORD LINCOLN,1,1,60
APPLE INC,APPLE INC,APPLE INC,1,1,150
APPLIED PHYSICS LAB.,APPLIED PHYSICS LAB.,APPLIED PHYSICS LAB.,1,1,70
APPROVED EQUIPMENT,APPROVED EQUIPMENT,APPROVED EQUIPMENT,1,1,815.47
APRIO LLP,APRIO LLP,APRIO LLP,1,1,1000
APS,APS,APS,1,1,516.53
AQUAS INC.,AQUAS INC.,AQUAS INC.,1,1,300
AQUILENT,AQUILENT,AQUILENT,1,1,655
ARBRE GROUP HOLDING CORP,ARBRE GROUP HOLDING CORP,ARBRE GROUP HOLDING CORP,1,1,4600
ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND CO,1,1,2500
ARCHITECT,ARCHITECT,ARCHITECT,1,1,250
ARCLAND PROPERTY COMPANY LLC,ARCLAND PROPERTY COMPANY LLC,ARCLAND PROPERTY COMPANY LLC,1,1,2500
ARDMORE,ARDMORE,ARDMORE,1,1,250
AREL ARCHITECTS INC,AREL ARCHITECTS INC,AREL ARCHITECTS INC,1,1,500
ARETUM HOLDINGS LLC,ARETUM HOLDINGS LLC,ARETUM HOLDINGS LLC,1,1,500
ARGO DEVELOPMENT CO.,ARGO DEVELOPMENT CO.,ARGO DEVELOPMENT CO.,1,1,1208.2
ARISWORKS INC,ARISWORKS INC,ARISWORKS INC,1,1,250
ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,1,1,233.27
ARK CYBER CONSULTANTS LLC,ARK CYBER CONSULTANTS LLC,ARK CYBER CONSULTANTS LLC,1,1,100
ARLINGTON PUBLIC SCHOOLS,ARLINGTON PUBLIC SCHOOLS,ARLINGTON PUBLIC SCHOOLS,1,1,300
ARMACOST FARMS,ARMACOST FARMS,ARMACOST FARMS,1,1,250
ARNOLD,ARNOLD,ARNOLD,1,1,100
ARNOLD & PORTER,ARNOLD & PORTER LLP,ARNOLD & PORTER LLP,1,1,500
ARRAY TECHNOLOGIES,ARRAY TECHNOLOGIES,ARRAY TECHNOLOGIES,1,1,1500
ARTEMIS,ARTEMIS,ARTEMIS,1,1,350
ARTEMIS REP,ARTEMIS REP,ARTEMIS REP,1,1,3300
ARUNDEL HOME IMPROVEMENTS,ARUNDEL HOME IMPROVEMENTS,ARUNDEL HOME IMPROVEMENTS,1,1,75
ARUNDEL SYSTEM LOGIC,ARUNDEL SYSTEM LOGIC,ARUNDEL SYSTEM LOGIC,1,1,200
ARYA TECHNOLOGIES,ARYA TECHNOLOGIES,ARYA TECHNOLOGIES,1,1,500
ASAE: THE CENTER FOR ASSOCIATION LEADE,ASAE: THE CENTER FOR ASSOCIATION LEADE,ASAE: THE CENTER FOR ASSOCIATION LEADE,1,1,250
ASAP 340B,ASAP 340B,ASAP 340B,1,1,1000
ASCELLON CORPORATION,ASCELLON CORPORATION,ASCELLON CORPORATION,1,1,1500.24
ASCENSION HEALTH ALLIANCE,ASCENSION HEALTH ALLIANCE,ASCENSION HEALTH ALLIANCE,1,1,300
ASCENSION ST AGNES,ASCENSION ST AGNES,ASCENSION ST AGNES,1,1,1000
ASCII GROUP,ASCII GROUP,ASCII GROUP,1,1,600
ASFPM,ASFPM,ASFPM,1,1,513.5
ASG,ASG,ASG,1,1,1000
ASHBY CONSULTING,ASHBY CONSULTING,ASHBY CONSULTING,1,1,2500
ASHTON-GROUP SERVICES LLC,ASHTON-GROUP SERVICES LLC,ASHTON-GROUP SERVICES LLC,1,1,1000
"ASI WORKS, INC.","ASI WORKS, INC.","ASI WORKS, INC.",1,1,3000
ASKINAZI LAW,ASKINAZI LAW,ASKINAZI LAW,1,1,1000
ASPIRE COUNSELING,ASPIRE COUNSELING,ASPIRE COUNSELING,1,1,3000
ASRC,ASRC,ASRC,1,1,200
ASSN OF PUBLIC HEALTH LABS,ASSN OF PUBLIC HEALTH LABS,ASSN OF PUBLIC HEALTH LABS,1,1,250
ASSOC OF UNIV'S FOR RESEARCH IN ASTRON,ASSOC OF UNIV'S FOR RESEARCH IN ASTRON,ASSOC OF UNIV'S FOR RESEARCH IN ASTRON,1,1,250
ASSOC. FOR COMMUNITY AFFILIATED PLANS,ASSOC. FOR COMMUNITY AFFILIATED PLANS,ASSOC. FOR COMMUNITY AFFILIATED PLANS,1,1,250
ASSOCIATES IN RADIATION MEDICINE,ASSOCIATES IN RADIATION MEDICINE,ASSOCIATES IN RADIATION MEDICINE,1,1,1500
ASSOCIATION OF AMERICAN RAILROADS,ASSOCIATION OF AMERICAN RAILROADS,ASSOCIATION OF AMERICAN RAILROADS,1,1,500
ASSOCIATION OF MARYLAND PILOTS,ASSOCIATION OF MARYLAND PILOTS,ASSOCIATION OF MARYLAND PILOTS,1,1,4445.12
ASSOCIATION OF STATE FLOODPLAIN MANAGE,ASSOCIATION OF STATE FLOODPLAIN MANAGE,ASSOCIATION OF STATE FLOODPLAIN MANAGE,1,1,2012.5
ASSOCIATION OF ZOOS AND AQUARIUMS,ASSOCIATION OF ZOOS AND AQUARIUMS,ASSOCIATION OF ZOOS AND AQUARIUMS,1,1,250
ASSUREDPARTNERS INC,ASSUREDPARTNERS INC,ASSUREDPARTNERS INC,1,1,250
AST CORPORATION,AST CORPORATION,AST CORPORATION,1,1,15
ASTRO AMERICA,ASTRO AMERICA,ASTRO AMERICA,1,1,500
AT & T,AT & T,AT & T,1,1,208.2
ATES LAW FIRM,ATES LAW FIRM,ATES LAW FIRM,1,1,300
ATGE,ATGE,ATGE,1,1,50
ATKINS REALIS,ATKINS REALIS,ATKINS REALIS,1,1,250
ATLANTIC COUNCIL,ATLANTIC COUNCIL,ATLANTIC COUNCIL,1,1,100
ATLANTIC DATA FORENSICS INC.,ATLANTIC DATA FORENSICS INC.,ATLANTIC DATA FORENSICS INC.,1,1,150
ATLANTIC MEDIA CO,ATLANTIC MEDIA CO,ATLANTIC MEDIA CO,1,1,250
ATLANTIC PLANNING & DEVELOPMENT,ATLANTIC PLANNING & DEVELOPMENT,ATLANTIC PLANNING & DEVELOPMENT,1,1,1000
"ATLANTIC R&R, INC.","ATLANTIC R&R, INC.","ATLANTIC R&R, INC.",1,1,2500
ATLANTIC STRATEGIES GROUP,ATLANTIC STRATEGIES GROUP,ATLANTIC STRATEGIES GROUP,1,1,500
ATLAS CONSULTING AND STRATEGY,ATLAS CONSULTING AND STRATEGY,ATLAS CONSULTING AND STRATEGY,1,1,500
ATLAS CONTAINER,ATLAS CONTAINER,ATLAS CONTAINER,1,1,2000
AU,AU,AU,1,1,1550
AUDACIOUS CAPITAL,AUDACIOUS CAPITAL,AUDACIOUS CAPITAL,1,1,3300
AUERBACHSCHROT LLC,AUERBACHSCHROT LLC,AUERBACHSCHROT LLC,1,1,250
AUGUSTINE W. PAIK,AUGUSTINE W. PAIK,AUGUSTINE W. PAIK,1,1,1000
